   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
------ + --------------------------------------------------+------------------------+---------------------------------------+---------------------------------------+-------------------

   392 : Beta                                              -                        Beta                                    Greek and Coptic                        GREEK CAPITAL LETTER BETA
  A7B4 : Beta                                              -                        Beta                                    Latin Extended-D                        LATIN CAPITAL LETTER BETA

   3A7 : Chi                                               -                        Chi                                     Greek and Coptic                        GREEK CAPITAL LETTER CHI
  A7B3 : Chi                                               -                        Chi                                     Latin Extended-D                        LATIN CAPITAL LETTER CHI

   18E : Ereversed                                         -                        Ereversed                               Latin Extended-B                        LATIN CAPITAL LETTER REVERSED E
   42D : Ereversed                                         -                        Ereversed                               Cyrillic                                CYRILLIC CAPITAL LETTER E

    49 : I                                                 -                        I                                       Basic Latin                             LATIN CAPITAL LETTER I
  2C0B : I                                                 -                        I                                       Glagolitic                              GLAGOLITIC CAPITAL LETTER I

   26A : Ismall                                            -                        Ismall                                  IPA Extensions                          LATIN LETTER SMALL CAPITAL I
  A7AE : Ismall                                            -                        Ismall                                  Latin Extended-D                        LATIN CAPITAL LETTER SMALL CAPITAL I

   3A9 : Omega                                             -                        Omega                                   Greek and Coptic                        GREEK CAPITAL LETTER OMEGA
  A7B6 : Omega                                             -                        Omega                                   Latin Extended-D                        LATIN CAPITAL LETTER OMEGA

    61 : a                                                 -                        a                                       Basic Latin                             LATIN SMALL LETTER A
  A984 : a                                                 -                        a                                       Javanese                                JAVANESE LETTER A   

    B4 : acute                                             -                        acute                                   Latin-1 Supplement                      ACUTE ACCENT        
  1FFD : acute                                             -                        acute                                   Greek Extended                          GREEK OXIA          

    E6 : ae                                                -                        ae                                      Latin-1 Supplement                      LATIN SMALL LETTER AE
   6D5 : ae                                                -                        ae                                      Arabic                                  ARABIC LETTER AE    

   639 : ain                                               -                        ain                                     Arabic                                  ARABIC LETTER AIN   
  1D25 : ain                                               -                        ain                                     Phonetic Extensions                     LATIN LETTER AIN    

   251 : alpha                                             -                        alpha                                   IPA Extensions                          LATIN SMALL LETTER ALPHA
   3B1 : alpha                                             -                        alpha                                   Greek and Coptic                        GREEK SMALL LETTER ALPHA

 1F476 : baby                                              -                        baby                                    Miscellaneous Symbols and Pictographs   BABY                
 1F6BC : baby                                              -                        baby                                    Transport and Map Symbols               BABY SYMBOL         

  237E : bell                                              -                        bell                                    Miscellaneous Technical                 BELL SYMBOL         
 1F514 : bell                                              -                        bell                                    Miscellaneous Symbols and Pictographs   BELL                

   3B2 : beta                                              -                        beta                                    Greek and Coptic                        GREEK SMALL LETTER BETA
  A7B5 : beta                                              -                        beta                                    Latin Extended-D                        LATIN SMALL LETTER BETA

  22C8 : bowtie                                            -                        bowtie                                  Mathematical Operators                  BOWTIE              
  2445 : bowtie                                            -                        bowtie                                  Optical Character Recognition           OCR BOW TIE         

  2441 : chair                                             -                        chair                                   Optical Character Recognition           OCR CHAIR           
 1FA91 : chair                                             -                        chair                                   Symbols and Pictographs Extended-A      CHAIR               



    2C : comma                                             -                        comma                                   Basic Latin                             COMMA               
   60C : comma                                             -                        comma                                   Arabic                                  ARABIC COMMA        

